id,lat,lng,seq
M040881,40.826657,-73.950395,220002
M040881,40.826657,-73.950395,230001
M040881,40.824277,-73.952114,230002
M040881,40.824277,-73.952114,240001
M040881,40.823038,-73.953038,240002
M040881,40.823038,-73.953038,250001
M040881,40.821804,-73.953937,250002
M040881,40.821804,-73.953937,260001
M040881,40.819940,-73.955323,260002
M040890,40.746644,-73.983771,10001
M040890,40.748361,-73.982514,10002
M040890,40.748361,-73.982514,20001
M040890,40.750172,-73.981193,20002
M040890,40.750172,-73.981193,30001
M040890,40.750272,-73.981119,30002
M040890,40.750902,-73.980669,30003
M040890,40.751512,-73.980219,30004
M040890,40.752053,-73.979826,30005
M040890,40.752053,-73.979826,40001
M040890,40.752132,-73.979769,40002
M040890,40.752352,-73.979609,40003
M040890,40.752542,-73.979479,40004
M040890,40.752822,-73.979269,40005
M040890,40.753377,-73.978850,40006
M040890,40.753377,-73.978850,50001
M040890,40.753472,-73.978779,50002
M040890,40.754002,-73.978399,50003
M040890,40.754052,-73.978359,50004
M040890,40.754092,-73.978329,50005
M040890,40.754722,-73.977869,50006
M040890,40.755263,-73.977476,50007
M040890,40.755263,-73.977476,60001
M040890,40.755342,-73.977419,60002
M040890,40.755972,-73.976959,60003
M040890,40.756524,-73.976549,60004
M040890,40.756524,-73.976549,70001
M040890,40.756592,-73.976499,70002
M040890,40.756972,-73.976239,70003
M040890,40.757222,-73.976049,70004
M040890,40.757784,-73.975647,70005
M040890,40.757784,-73.975647,80001
M040890,40.757852,-73.975599,80002
M040890,40.758482,-73.975129,80003
M040890,40.759092,-73.974679,80004
M040890,40.759669,-73.974263,80005
M040890,40.759669,-73.974263,90001
M040890,40.759732,-73.974219,90002
M040890,40.760352,-73.973769,90003
M040890,40.760982,-73.973299,90004
M040890,40.761540,-73.972893,90005
M040890,40.761540,-73.972893,100001
M040890,40.761602,-73.972849,100002
M040890,40.762282,-73.972359,100003
M040890,40.762890,-73.971914,100004
M040890,40.762890,-73.971914,110001
M040890,40.764719,-73.970581,110002
M040890,40.764719,-73.970581,120001
M040890,40.766310,-73.969416,120002
M040890,40.766310,-73.969416,130001
M040890,40.767874,-73.968274,130002
M040890,40.767874,-73.968274,140001
M040890,40.768849,-73.967569,140002
M040890,40.768849,-73.967569,150001
M040890,40.770113,-73.966648,150002
M040890,40.770113,-73.966648,160001
M040890,40.771834,-73.965383,160002
M040890,40.771834,-73.965383,170001
M040890,40.772452,-73.964929,170002
M040890,40.772802,-73.964677,170003
M040890,40.772802,-73.964677,180001
M040890,40.773092,-73.964469,180002
M040890,40.773722,-73.964009,180003
M040890,40.774362,-73.963549,180004
M040890,40.774992,-73.963089,180005
M040890,40.775357,-73.962826,180006
M040890,40.775357,-73.962826,190001
M040890,40.777486,-73.961273,190002
M040890,40.777486,-73.961273,200001
M040890,40.778828,-73.960292,200002
M040890,40.778828,-73.960292,210001
M040890,40.781189,-73.958562,210002
M040890,40.781189,-73.958562,220001
M040890,40.782709,-73.957452,220002
M040890,40.782709,-73.957452,230001
